key,value
save_dir,triviaqa
save_prefix,interactive
train_dataset,data/sample_data
dev_dataset,data/sample_data
batch_size,8
gpus,2
warmup,1000
lr,3e-05
val_every,0.5
val_percent_check,1.0
num_workers,4
seed,4321
epochs,4
max_seq_len,4096
max_doc_len,4096
max_num_answers,64
max_question_len,55
doc_stride,-1
ignore_seq_with_no_answers,False
disable_checkpointing,False
n_best_size,20
max_answer_length,30
regular_softmax_loss,False
test,False
model_path,longformer_model/longformer-large-4096
no_progress_bar,False
attention_mode,sliding_chunks
fp32,False
seq2seq,False
resume_ckpt,None
run_name,test run for old model
project_name,Teacher Feedback Project
