created_at,epoch,input_size,lr,mem,train_loss
2021-03-10 16:06:59.918210,0,512,0.0,1.448990821838379,5.521484375
2021-03-10 16:07:10.951633,0,512,1.500000053056283e-06,3.1417698860168457,4.154296875
2021-03-10 16:07:21.018991,0,512,3.000000106112566e-06,3.14872407913208,5.5
2021-03-10 16:07:31.805474,0,512,4.500000159168849e-06,3.1566243171691895,4.080078125
2021-03-10 16:07:42.235916,0,512,6.000000212225132e-06,3.1487231254577637,0.0
2021-03-10 16:07:52.490521,0,512,7.499999810534064e-06,3.14631986618042,0.0
2021-03-10 16:08:02.404615,0,512,9.000000318337698e-06,3.147120952606201,0.0
2021-03-10 16:08:13.157119,0,512,1.049999991664663e-05,3.1455202102661133,4.4921875
2021-03-10 16:08:24.087289,0,512,1.2000000424450263e-05,3.1455206871032715,4.384765625
2021-03-10 16:08:34.316049,0,512,1.3500000022759195e-05,3.145519733428955,3.873046875
2021-03-10 16:08:45.068991,0,512,1.4999999621068127e-05,3.14998197555542,0.0
2021-03-10 16:08:55.466731,0,512,1.650000012887176e-05,3.1651549339294434,0.0
2021-03-10 16:09:05.935304,0,512,1.8000000636675395e-05,3.1392641067504883,1.7255859375
2021-03-10 16:09:15.652824,0,512,1.9499999325489625e-05,3.1499834060668945,2.0
2021-03-10 16:09:25.850300,0,512,2.099999983329326e-05,3.147122383117676,2.2666015625
2021-03-10 16:09:35.950121,0,512,2.2500000341096893e-05,3.1558680534362793,0.0
2021-03-10 16:09:45.959399,0,512,2.4000000848900527e-05,3.156623363494873,0.0
2021-03-10 16:09:56.699424,0,512,2.5499999537714757e-05,3.14872407913208,4.390625
2021-03-10 16:10:07.484213,0,512,2.700000004551839e-05,3.1487231254577637,0.0
2021-03-10 16:10:17.461391,0,512,2.8500000553322025e-05,3.1463217735290527,1.458984375
2021-03-10 16:10:27.794608,0,512,2.9999999242136255e-05,3.1392645835876465,4.251953125
2021-03-10 16:10:37.127024,0,512,2.998632044182159e-05,3.1690306663513184,0.0
2021-03-10 16:10:47.181437,0,512,2.997263982251752e-05,3.1463217735290527,1.88671875
2021-03-10 16:10:56.827783,0,512,2.9958959203213453e-05,3.1558690071105957,4.1044921875
2021-03-10 16:11:07.134179,0,512,2.9945278583909385e-05,3.1471219062805176,6.111328125
2021-03-10 16:11:17.029522,0,512,2.993159978359472e-05,3.14998197555542,0.0
2021-03-10 16:11:27.501132,0,512,2.991791916429065e-05,3.1447200775146484,3.0009765625
2021-03-10 16:11:37.048306,0,512,2.9904238544986583e-05,3.1479220390319824,0.0
2021-03-10 16:11:48.082272,0,512,2.989055974467192e-05,3.158194065093994,3.662109375
2021-03-10 16:11:58.121547,0,512,2.987687912536785e-05,3.147120952606201,0.0
2021-03-10 16:12:08.411524,0,512,2.986319850606378e-05,3.13926362991333,3.0361328125
